ts_lamport;ts_epoch_ms;nodo;tipo;detalle
713;1782096155711;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
715;1782096155712;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
719;1782096155720;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
721;1782096155721;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
727;1782096155731;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
729;1782096155732;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
737;1782096155747;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
738;1782096155747;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
743;1782096155758;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
745;1782096155758;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
753;1782096155771;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
755;1782096155773;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
761;1782096155781;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
763;1782096155783;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
767;1782096155790;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
769;1782096155795;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
775;1782096155804;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
777;1782096155804;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
784;1782096155815;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
786;1782096155815;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
792;1782096155824;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
794;1782096155824;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
800;1782096155834;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
802;1782096155835;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
808;1782096155841;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
810;1782096155843;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
818;1782096155860;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
816;1782096155860;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
826;1782096155866;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
827;1782096155866;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
833;1782096155873;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
835;1782096155876;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
841;1782096155883;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
843;1782096155886;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
849;1782096155893;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
851;1782096155893;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
857;1782096155903;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
859;1782096155904;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
865;1782096155908;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
867;1782096155910;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
875;1782096155921;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
877;1782096155924;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
883;1782096155934;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
884;1782096155934;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
889;1782096155940;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
891;1782096155941;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
899;1782096155945;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
897;1782096155945;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
908;1782096155949;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
