ts_lamport;ts_epoch_ms;nodo;tipo;detalle
67962;1782096177448;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
67966;1782096177451;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
67968;1782096177451;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
67976;1782096177455;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
67978;1782096177455;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
67984;1782096177459;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
67986;1782096177459;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
67992;1782096177462;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
67993;1782096177462;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68001;1782096177464;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68003;1782096177464;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68009;1782096177469;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68011;1782096177469;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68015;1782096177472;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68017;1782096177472;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68025;1782096177477;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68027;1782096177477;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68031;1782096177481;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68033;1782096177481;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68042;1782096177485;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68044;1782096177485;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68048;1782096177488;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68050;1782096177488;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68056;1782096177492;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68058;1782096177492;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68064;1782096177495;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68066;1782096177496;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68074;1782096177498;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68076;1782096177499;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68080;1782096177501;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68082;1782096177501;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68091;1782096177506;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68093;1782096177506;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68099;1782096177509;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68101;1782096177509;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68107;1782096177512;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68105;1782096177512;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68115;1782096177516;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68116;1782096177516;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68123;1782096177519;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68124;1782096177519;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68131;1782096177522;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68132;1782096177522;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68140;1782096177525;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68142;1782096177525;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68146;1782096177529;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68148;1782096177529;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68154;1782096177532;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68156;1782096177532;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68165;1782096177535;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68166;1782096177536;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68174;1782096177538;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68172;1782096177538;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68182;1782096177542;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68184;1782096177542;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68190;1782096177545;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68191;1782096177545;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68199;1782096177550;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68200;1782096177550;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68206;1782096177553;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68208;1782096177553;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68214;1782096177556;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68216;1782096177557;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68222;1782096177560;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68224;1782096177560;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68232;1782096177563;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68233;1782096177563;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68241;1782096177565;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68242;1782096177565;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68247;1782096177569;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68249;1782096177569;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68257;1782096177573;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68259;1782096177573;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68265;1782096177577;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68266;1782096177577;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68274;1782096177580;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68275;1782096177580;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68280;1782096177583;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68282;1782096177583;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68290;1782096177587;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68291;1782096177587;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68297;1782096177590;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68299;1782096177590;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68305;1782096177593;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68307;1782096177596;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68315;1782096177599;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68317;1782096177599;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68323;1782096177602;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68325;1782096177603;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68329;1782096177606;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68331;1782096177606;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68339;1782096177609;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68341;1782096177610;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68345;1782096177613;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68347;1782096177613;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68355;1782096177615;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68356;1782096177615;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68362;1782096177619;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68364;1782096177619;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68370;1782096177622;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68372;1782096177622;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68380;1782096177625;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68381;1782096177625;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68389;1782096177629;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68391;1782096177629;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68397;1782096177632;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68398;1782096177632;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68404;1782096177636;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68406;1782096177636;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68413;1782096177638;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68415;1782096177639;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68424;1782096177643;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68426;1782096177643;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68431;1782096177646;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68433;1782096177646;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68441;1782096177649;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68443;1782096177650;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68449;1782096177653;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68451;1782096177654;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
68457;1782096177656;3;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
68458;1782096177656;3;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
