ts_ms;latencia_ms;exito
1782096169858;135;1
1782096170004;146;1
1782096170141;136;1
1782096170287;146;1
1782096170289;2;1
1782096170437;147;1
1782096170581;144;1
1782096170752;169;1
1782096170925;173;1
1782096170926;1;1
1782096171099;172;1
1782096171269;171;1
1782096171433;163;1
1782096171602;168;1
1782096171605;3;1
1782096171774;169;1
1782096171931;156;1
1782096172114;183;1
1782096172277;163;1
1782096172279;1;1
1782096172458;177;1
1782096172634;177;1
1782096172808;174;1
1782096172983;174;1
1782096172984;1;1
1782096173158;173;1
1782096173318;158;1
1782096173490;172;1
1782096173665;175;1
1782096173666;2;1
1782096173863;195;1
1782096174074;210;1
1782096174311;238;1
1782096174523;210;1
1782096174526;3;1
1782096174721;194;1
1782096174862;141;1
1782096174998;135;1
1782096175140;142;1
1782096175142;2;1
1782096175277;135;1
1782096175430;152;1
1782096175567;137;1
1782096175709;141;1
1782096175711;1;1
1782096175845;134;1
1782096175984;138;1
1782096176143;158;1
1782096176306;163;1
1782096176309;2;1
1782096176455;146;1
1782096176608;152;1
1782096176759;150;1
1782096176943;183;1
1782096176944;2;1
1782096177101;156;1
1782096177261;160;1
1782096177432;169;1
1782096177606;174;1
1782096177607;1;1
1782096177773;165;1
1782096177935;161;1
1782096178096;161;1
1782096178255;158;1
1782096178257;2;1
1782096178411;154;1
1782096178572;160;1
1782096178744;171;1
1782096178913;169;1
1782096178916;2;1
1782096179085;168;1
1782096179255;170;1
1782096179432;176;1
1782096179612;180;1
1782096179615;2;1
1782096179790;174;1
1782096179969;179;1
1782096180151;181;1
1782096180346;194;1
1782096180348;2;1
1782096180547;197;1
1782096180723;176;1
1782096180899;176;1
1782096181102;203;1
1782096181105;2;1
1782096181292;187;1
1782096181482;190;1
1782096181684;202;1
1782096181897;212;1
1782096181899;1;1
1782096182106;206;1
1782096182313;207;1
1782096182522;208;1
1782096182766;243;1
1782096182768;2;1
1782096182969;201;1
1782096183179;209;1
1782096183432;252;1
1782096183801;368;1
1782096183802;1;1
1782096184033;230;1
1782096184272;238;1
1782096184510;239;1
1782096184817;305;1
1782096184819;2;1
1782096185139;320;1
1782096185418;278;1
1782096185729;310;1
1782096186034;304;1
1782096186038;4;1
1782096186413;375;1
1782096186694;281;1
1782096186981;286;1
1782096187729;747;1
1782096187730;1;1
1782096188611;880;1
1782096189072;460;1
1782096189516;444;1
1782096189713;196;1
1782096189718;4;1
1782096189892;174;1
1782096190381;489;1
1782096190563;181;1
1782096190751;187;1
1782096190752;1;1
1782096190928;176;1
1782096191411;482;1
1782096191603;192;1
1782096191816;212;1
1782096191818;2;1
1782096192005;186;1
1782096192452;448;1
1782096192508;55;1
1782096192568;59;1
1782096192569;0;1
1782096192625;56;1
1782096192682;57;1
1782096192740;57;1
1782096192803;63;1
